participant_id,easier_condition,preferred_condition,input_score_a,input_score_b,option_score_a,option_score_b,cta_score_a,cta_score_b,overall_score_a,overall_score_b,difference_awareness_score,biggest_difference,most_helpful,mind_changed,change_detail,additional_comment
P01,B,B,5,7,4,7,5,7,5,7,6,option,option,no,,라디오 버튼이 선택지를 비교하기 더 쉬웠다.
P02,B,B,4,6,4,6,4,6,4,6,5,option,option,yes,드롭다운은 보기에는 깔끔했지만 실제 사용에서는 라디오 버튼이 더 편했다.,선택지가 한 번에 보여서 도움이 됐다.
P03,B,B,5,6,5,6,4,6,4,6,5,option,option,no,,조건 B가 전체적으로 덜 헷갈렸다.
P04,B,B,5,7,5,7,5,7,5,7,6,input,input,no,,레이블이 계속 보여서 입력할 때 안정감이 있었다.
P05,B,B,5,6,4,6,5,6,5,6,5,option,option,yes,드롭다운이 단순해 보였지만 비교할 때는 라디오 버튼이 더 쉬웠다.,조건 B가 더 친절하게 느껴졌다.
P06,B,B,5,6,5,6,5,6,5,6,5,option,option,no,,선택 정보를 확인하기 쉬웠다.
P07,B,B,3,5,3,5,3,5,3,5,6,input,input,yes,단순해 보이던 A가 실제 입력 중에는 덜 명확하게 느껴졌다.,A에서는 필드 의미를 다시 확인하게 됐다.
P08,same,B,6,7,6,7,6,7,6,7,4,cta,cta,no,,둘 다 어렵지는 않았지만 B가 더 명확했다.
P09,B,B,4,6,5,6,4,6,4,6,5,option,option,no,,라디오 버튼이 선택지를 비교하기에 더 좋았다.
P10,B,B,5,6,5,6,4,6,5,6,4,cta,cta,yes,처음에는 확인 버튼도 충분해 보였지만 실제로는 명확한 문구가 더 안심됐다.,CTA 차이는 크지 않았지만 분명히 느껴졌다.
P11,B,B,5,7,5,7,5,7,5,7,6,input,input,no,,조건 B가 전반적으로 더 명확했다.
P12,B,B,3,5,3,5,3,5,3,5,6,option,option,yes,A가 익숙해 보였지만 실제 선택은 B가 더 쉬웠다.,드롭다운에서 잠깐 망설였다.
P13,B,B,4,6,5,6,4,6,4,6,5,option,option,no,,비교할 정보가 바로 보여서 도움이 됐다.
P14,B,B,3,4,3,4,3,4,3,4,5,input,input,yes,A가 단순해 보였지만 실제로는 안내가 부족했다.,B도 아주 쉽지는 않았지만 A보다는 나았다.
P15,B,B,6,7,6,7,6,7,6,7,5,option,option,no,,과업은 쉬웠지만 두 조건의 차이는 분명했다.
P16,B,B,4,6,5,6,4,6,4,6,5,cta,cta,no,,버튼 문구가 더 명확하게 느껴졌다.
P17,B,B,4,6,4,6,4,6,4,6,5,option,option,yes,드롭다운이 더 깔끔해 보였지만 실제로는 라디오 버튼이 더 빨랐다.,선택지 비교가 핵심 차이였다.
P18,same,B,6,7,6,7,6,7,6,7,4,cta,cta,no,,숙련자 입장에서는 둘 다 쉬웠다.
P19,B,B,5,6,5,6,4,6,5,6,5,input,input,no,,레이블이 있는 쪽이 더 안정적으로 느껴졌다.
P20,B,B,4,6,4,6,4,6,4,6,5,option,option,yes,드롭다운이 간결해 보였지만 실제 비교에는 라디오 버튼이 더 나았다.,조건 B가 실수 가능성을 줄여주는 느낌이었다.
